time,height
4.216666667,10.59912073
4.233333333,10.59666667
4.25,10.59423177
4.266666667,10.5893904
4.283333333,10.58217054
4.3,10.57981982
4.316666667,10.57748718
4.333333333,10.57517241
4.35,10.56573791
4.366666667,10.56111534
4.383333333,10.55888889
4.4,10.55432704
4.416666667,10.55214286
4.433333333,10.54997503
4.45,10.54782338
4.466666667,10.54337051
4.483333333,10.53895062
4.5,10.53456335
4.516666667,10.53020833
4.533333333,10.52588523
4.55,10.52159367
4.566666667,10.51733333
4.583333333,10.51310386
4.6,10.50890493
4.616666667,10.502494
4.633333333,10.49612903
4.65,10.49203571
4.666666667,10.48797153
4.683333333,10.48393617
4.7,10.47992933
4.716666667,10.47375587
4.733333333,10.46981287
4.75,10.46589744
4.766666667,10.46200929
4.783333333,10.4559838
4.8,10.45215686
4.816666667,10.44835632
4.833333333,10.4445819
4.85,10.44083333
4.866666667,10.43711035
4.883333333,10.4334127
4.9,10.42762712
4.916666667,10.42188063
4.933333333,10.4182716
4.95,10.4146868
4.966666667,10.40904125
4.983333333,10.40551111
5,10.39993355
5.016666667,10.39439294
5.033333333,10.38888889
5.05,10.38342105
5.066666667,10.37798907
5.083333333,10.37259259
5.1,10.36723127
5.116666667,10.36190476
5.133333333,10.35661273
5.15,10.35135484
5.166666667,10.34613076
5.183333333,10.34094017
5.2,10.33578275
5.216666667,10.33065817
5.233333333,10.32556614
5.25,10.32050633
5.266666667,10.31547844
5.283333333,10.31048218
5.3,10.30551724
5.316666667,10.30058333
5.333333333,10.29568017
5.35,10.29080745
5.366666667,10.28596491
5.383333333,10.28115226
5.4,10.27636923
5.416666667,10.27161554
5.433333333,10.26498471
5.45,10.26029472
5.466666667,10.25563323
5.483333333,10.251
5.5,10.24639476
5.516666667,10.24181727
5.533333333,10.23726727
5.55,10.23274451
5.566666667,10.22824876
5.583333333,10.22377976
5.6,10.21933729
5.616666667,10.2149211
5.633333333,10.21053097
5.65,10.20616667
5.666666667,10.20182796
5.683333333,10.19751462
5.7,10.19322643
5.716666667,10.18896318
5.733333333,10.18472464
5.75,10.1805106
5.766666667,10.1745245
5.783333333,10.1685728
5.8,10.16444126
5.816666667,10.15855238
5.833333333,10.15269706
5.85,10.146875
5.866666667,10.14285175
5.883333333,10.1370904
5.9,10.1313615
5.916666667,10.12566479
5.933333333,10.12
5.95,10.11610801
5.966666667,10.1122377
5.983333333,10.10665741
6,10.10110803
6.016666667,10.09558932
6.033333333,10.09010101
6.05,10.08464286
6.066666667,10.08092237
6.083333333,10.07551913
6.1,10.07014532
6.116666667,10.06649457
6.133333333,10.0628636
6.15,10.05925225
6.166666667,10.05566038
6.183333333,10.05208781
6.2,10.04853441
6.216666667,10.04333333
6.233333333,10.03982222
6.25,10.03632979
6.266666667,10.03285588
6.283333333,10.02940035
6.3,10.02431838
6.316666667,10.01926316
6.333333333,10.01423447
6.35,10.00923211
6.366666667,10.00425587
6.383333333,9.999305556
6.4,9.994380952
6.416666667,9.989481865
6.433333333,9.984608096
6.45,9.97975945
6.466666667,9.976538132
6.483333333,9.971735043
6.5,9.966956522
6.516666667,9.962202381
6.533333333,9.957472434
6.55,9.952766497
6.566666667,9.948084388
6.583333333,9.943425926
6.6,9.938790932
6.616666667,9.934179229
6.633333333,9.929590643
6.65,9.925025
6.666666667,9.920482128
6.683333333,9.917512438
6.7,9.914557486
6.716666667,9.910074257
6.733333333,9.905613169
6.75,9.901174056
6.766666667,9.896756757
6.783333333,9.892361111
6.8,9.88798696
6.816666667,9.883634146
6.833333333,9.879302514
6.85,9.874991909
6.866666667,9.870702179
6.883333333,9.866433172
6.9,9.862184739
6.916666667,9.857956731
6.933333333,9.853749001
6.95,9.849561404
6.966666667,9.845393795
6.983333333,9.841246032
7,9.837117973
7.016666667,9.833009479
7.033333333,9.82892041
7.05,9.824850629
7.066666667,9.8208
7.083333333,9.816768388
7.1,9.81275566
7.116666667,9.808761682
7.133333333,9.804786325
7.15,9.800829457
7.166666667,9.796890951
7.183333333,9.792970679
7.2,9.787628945
7.216666667,9.78374808
7.233333333,9.779885057
7.25,9.776039755
7.266666667,9.77078566
7.283333333,9.766978691
7.3,9.763189066
7.316666667,9.759416667
7.333333333,9.755661376
7.35,9.751923077
7.366666667,9.748201655
7.383333333,9.744496997
7.4,9.740808989
7.416666667,9.737137519
7.433333333,9.733482476
7.45,9.72984375
7.466666667,9.726221232
7.483333333,9.722614815
7.5,9.71902439
7.516666667,9.715449853
7.533333333,9.711891096
7.55,9.708348018
7.566666667,9.704820513
7.583333333,9.70130848
7.6,9.696447848
7.616666667,9.692969432
7.633333333,9.689506173
7.65,9.686057971
7.666666667,9.682624729
7.683333333,9.679206349
7.7,9.675802736
7.716666667,9.672413793
